Date,Geography,DelinquencyRate
2014-07-01,Trois-Riviéres,0.39
2014-07-01,Montréal,0.35
2014-07-01,Ottawa-Gatineau,0.27
2014-07-01,Kingston,0.36
2014-07-01,Peterborough,0.30
2014-07-01,Oshawa,0.24
2014-07-01,Toronto,0.19
2014-07-01,Hamilton,0.25
2014-07-01,St. Catharines-Niagara,0.43
2014-07-01,Kitchener-Cambridge-Waterloo,0.24
2014-07-01,Brantford,0.34
2014-07-01,Guelph,0.17
2014-07-01,London,0.33
2014-07-01,Windsor,0.38
2014-07-01,Barrie,0.31
2014-07-01,Greater Sudbury,0.37
2014-07-01,Thunder Bay,0.19
2014-07-01,Winnipeg,0.20
2014-07-01,Regina,0.31
2014-07-01,Saskatoon,0.21
2014-07-01,Calgary,0.27
2014-07-01,Edmonton,0.34
2014-07-01,Kelowna,0.56
2014-07-01,Abbotsford-Mission,0.61
2014-07-01,Vancouver,0.30
2014-07-01,Victoria,0.35
2014-10-01,Canada,0.35
2014-10-01,Newfoundland,0.28
2014-10-01,Prince Edward Island,0.57
2014-10-01,Nova Scotia,0.68
2014-10-01,New Brunswick,0.72
2014-10-01,Québec,0.39
2014-10-01,Ontario,0.26
2014-10-01,Manitoba,0.27
2014-10-01,Saskatchewan,0.36
2014-10-01,Alberta,0.32
2014-10-01,British Columbia,0.40
2014-10-01,St. John's,0.24
2014-10-01,Charlottetown,0.41
2014-10-01,Halifax,0.49
2014-10-01,Moncton,0.70
2014-10-01,Saint John,0.75
2014-10-01,Saguenay,0.31
2014-10-01,Québec City,0.23
2014-10-01,Sherbrooke,0.39
2014-10-01,Trois-Riviéres,0.39
2014-10-01,Montréal,0.37
2014-10-01,Ottawa-Gatineau,0.29
2014-10-01,Kingston,0.36
2014-10-01,Peterborough,0.28
2014-10-01,Oshawa,0.21
2014-10-01,Toronto,0.18
2014-10-01,Hamilton,0.25
2014-10-01,St. Catharines-Niagara,0.39
2014-10-01,Kitchener-Cambridge-Waterloo,0.25
2014-10-01,Brantford,0.32
2014-10-01,Guelph,0.15
2014-10-01,London,0.32
2014-10-01,Windsor,0.38
2014-10-01,Barrie,0.30
2014-10-01,Greater Sudbury,0.45
2014-10-01,Thunder Bay,0.21
2014-10-01,Winnipeg,0.21
2014-10-01,Regina,0.32
2014-10-01,Saskatoon,0.27
2014-10-01,Calgary,0.26
2014-10-01,Edmonton,0.32
2014-10-01,Kelowna,0.47
2014-10-01,Abbotsford-Mission,0.64
2014-10-01,Vancouver,0.29
2014-10-01,Victoria,0.36
2015-01-01,Canada,0.36
2015-01-01,Newfoundland,0.37
2015-01-01,Prince Edward Island,0.68
2015-01-01,Nova Scotia,0.70
2015-01-01,New Brunswick,0.79
2015-01-01,Québec,0.42
2015-01-01,Ontario,0.27
2015-01-01,Manitoba,0.31
2015-01-01,Saskatchewan,0.41
2015-01-01,Alberta,0.32
2015-01-01,British Columbia,0.40
2015-01-01,St. John's,0.26
2015-01-01,Charlottetown,0.53
2015-01-01,Halifax,0.49
2015-01-01,Moncton,0.74
2015-01-01,Saint John,0.83
2015-01-01,Saguenay,0.36
2015-01-01,Québec City,0.24
2015-01-01,Sherbrooke,0.40
2015-01-01,Trois-Riviéres,0.46
2015-01-01,Montréal,0.39
2015-01-01,Ottawa-Gatineau,0.32
2015-01-01,Kingston,0.37
2015-01-01,Peterborough,0.30
2015-01-01,Oshawa,0.23
2015-01-01,Toronto,0.19
2015-01-01,Hamilton,0.25
2015-01-01,St. Catharines-Niagara,0.42
2015-01-01,Kitchener-Cambridge-Waterloo,0.25
2015-01-01,Brantford,0.33
2015-01-01,Guelph,0.09
2015-01-01,London,0.30
2015-01-01,Windsor,0.36
2015-01-01,Barrie,0.33
2015-01-01,Greater Sudbury,0.50
2015-01-01,Thunder Bay,0.28
2015-01-01,Winnipeg,0.24
2015-01-01,Regina,0.38
2015-01-01,Saskatoon,0.29
2015-01-01,Calgary,0.26
2015-01-01,Edmonton,0.33
2015-01-01,Kelowna,0.54
2015-01-01,Abbotsford-Mission,0.57
2015-01-01,Vancouver,0.29
2015-01-01,Victoria,0.35
2015-04-01,Canada,0.35
2015-04-01,Newfoundland,0.37
2015-04-01,Prince Edward Island,0.62
2015-04-01,Nova Scotia,0.67
2015-04-01,New Brunswick,0.80
2015-04-01,Québec,0.41
2015-04-01,Ontario,0.25
2015-04-01,Manitoba,0.30
2015-04-01,Saskatchewan,0.43
2015-04-01,Alberta,0.33
2015-04-01,British Columbia,0.38
2015-04-01,St. John's,0.27
2015-04-01,Charlottetown,0.57
2015-04-01,Halifax,0.49
2015-04-01,Moncton,0.82
2015-04-01,Saint John,0.85
2015-04-01,Saguenay,0.33
2015-04-01,Québec City,0.24
2015-04-01,Sherbrooke,0.36
2015-04-01,Trois-Riviéres,0.42
2015-04-01,Montréal,0.38
2015-04-01,Ottawa-Gatineau,0.30
2015-04-01,Kingston,0.35
2015-04-01,Peterborough,0.24
2015-04-01,Oshawa,0.18
2015-04-01,Toronto,0.16
2015-04-01,Hamilton,0.20
2015-04-01,St. Catharines-Niagara,0.41
2015-04-01,Kitchener-Cambridge-Waterloo,0.25
2015-04-01,Brantford,0.34
2015-04-01,Guelph,0.15
2015-04-01,London,0.28
2015-04-01,Windsor,0.35
2015-04-01,Barrie,0.26
2015-04-01,Greater Sudbury,0.49
2015-04-01,Thunder Bay,0.26
2015-04-01,Winnipeg,0.23
2015-04-01,Regina,0.38
2015-04-01,Saskatoon,0.34
2015-04-01,Calgary,0.25
2015-04-01,Edmonton,0.33
2015-04-01,Kelowna,0.51
2015-04-01,Abbotsford-Mission,0.55
2015-04-01,Vancouver,0.28
2015-04-01,Victoria,0.31
2015-07-01,Canada,0.35
2015-07-01,Newfoundland,0.37
2015-07-01,Prince Edward Island,0.63
2015-07-01,Nova Scotia,0.66
2015-07-01,New Brunswick,0.81
2015-07-01,Québec,0.41
2015-07-01,Ontario,0.24
2015-07-01,Manitoba,0.29
2015-07-01,Saskatchewan,0.45
2015-07-01,Alberta,0.35
2015-07-01,British Columbia,0.34
2015-07-01,St. John's,0.27
2015-07-01,Charlottetown,0.55
2015-07-01,Halifax,0.50
2015-07-01,Moncton,0.80
2015-07-01,Saint John,0.83
2015-07-01,Saguenay,0.34
2015-07-01,Québec City,0.23
2015-07-01,Sherbrooke,0.38
2015-07-01,Trois-Riviéres,0.45
2015-07-01,Montréal,0.38
2015-07-01,Ottawa-Gatineau,0.30
2015-07-01,Kingston,0.34
2015-07-01,Peterborough,0.24
2015-07-01,Oshawa,0.21
2015-07-01,Toronto,0.15
2015-07-01,Hamilton,0.18
2015-07-01,St. Catharines-Niagara,0.41
2015-07-01,Kitchener-Cambridge-Waterloo,0.19
2015-07-01,Brantford,0.34
2015-07-01,Guelph,0.11
2015-07-01,London,0.28
2015-07-01,Windsor,0.35
2015-07-01,Barrie,0.25
2015-07-01,Greater Sudbury,0.46
2015-07-01,Thunder Bay,0.28
2015-07-01,Winnipeg,0.22
2015-07-01,Regina,0.35
2015-07-01,Saskatoon,0.36
2015-07-01,Calgary,0.26
2015-07-01,Edmonton,0.34
2015-07-01,Kelowna,0.43
2015-07-01,Abbotsford-Mission,0.44
2015-07-01,Vancouver,0.25
2015-07-01,Victoria,0.29
2015-10-01,Canada,0.35
2015-10-01,Newfoundland,0.41
2015-10-01,Prince Edward Island,0.67
2015-10-01,Nova Scotia,0.68
2015-10-01,New Brunswick,0.79
2015-10-01,Québec,0.42
2015-10-01,Ontario,0.23
2015-10-01,Manitoba,0.33
2015-10-01,Saskatchewan,0.49
2015-10-01,Alberta,0.36
2015-10-01,British Columbia,0.32
2015-10-01,St. John's,0.31
2015-10-01,Charlottetown,0.59
2015-10-01,Halifax,0.49
2015-10-01,Moncton,0.83
2015-10-01,Saint John,0.85
2015-10-01,Saguenay,0.41
2015-10-01,Québec City,0.23
2015-10-01,Sherbrooke,0.35
2015-10-01,Trois-Riviéres,0.51
2015-10-01,Montréal,0.39
2015-10-01,Ottawa-Gatineau,0.31
2015-10-01,Kingston,0.31
2015-10-01,Peterborough,0.21
2015-10-01,Oshawa,0.18
2015-10-01,Toronto,0.15
2015-10-01,Hamilton,0.16
2015-10-01,St. Catharines-Niagara,0.34
2015-10-01,Kitchener-Cambridge-Waterloo,0.19
2015-10-01,Brantford,0.27
2015-10-01,Guelph,0.10
2015-10-01,London,0.31
2015-10-01,Windsor,0.40
2015-10-01,Barrie,0.22
2015-10-01,Greater Sudbury,0.50
2015-10-01,Thunder Bay,0.23
2015-10-01,Winnipeg,0.26
2015-10-01,Regina,0.40
2015-10-01,Saskatoon,0.38
2015-10-01,Calgary,0.27
2015-10-01,Edmonton,0.35
2015-10-01,Kelowna,0.38
2015-10-01,Abbotsford-Mission,0.38
2015-10-01,Vancouver,0.23
2015-10-01,Victoria,0.29
2016-01-01,Canada,0.36
2016-01-01,Newfoundland,0.45
2016-01-01,Prince Edward Island,0.70
2016-01-01,Nova Scotia,0.70
2016-01-01,New Brunswick,0.82
2016-01-01,Québec,0.44
2016-01-01,Ontario,0.24
2016-01-01,Manitoba,0.34
2016-01-01,Saskatchewan,0.54
2016-01-01,Alberta,0.41
2016-01-01,British Columbia,0.32
2016-01-01,St. John's,0.33
2016-01-01,Charlottetown,0.56
